Nom,Prix Unitaire (CAD),Couleur,Caractéristiques
Rose,3.4,Rouge,Parfumée et symbolise l'amour
Tulipe,2.5,Jaune,Printanière et élégante
Lys,4.1,Blanc,Parfum envoûtant
Orchidée,6.8,Violet,Exotique et élégante
Gerbera,2.7,Orange,Grande fleur colorée
Pivoine,6.1,Rose,Floraison abondante
Marguerite,1.6,Blanc,Symbole de l’innocence
Hortensia,5.2,Bleu,Change de couleur selon le sol
Chrysanthème,3.1,Jaune,Résistante et automnale
Jonquille,2.0,Jaune,Annonciatrice du printemps
Dahlia,4.4,Rouge,Fleurs aux formes variées
Camélia,5.5,Rose,Fleur d'hiver
Bleuet,2.3,Bleu,Symbole du souvenir
Anémone,3.3,Rouge,Délicate et printanière
Freesia,2.9,Blanc,Parfum intense
Glaïeul,3.6,Rose,Fleurs en épi
Renoncule,4.0,Jaune,Nombreux pétales délicats
Lavande,2.5,Violet,Parfum apaisant
Jacinthe,4.8,Bleu,Parfum puissant
Zinnia,2.6,Orange,Vive et résistante
Muguet,3.7,Blanc,Petites clochettes parfumées
Tournesol,4.1,Jaune,Symbole de soleil et de joie
Cosmos,2.2,Rose,Fleurs aériennes
Giroflée,3.0,Orange,Parfum doux et sucré
Violette,2.0,Violet,Petite fleur parfumée
Aster,2.8,Violet,Floraison automnale
Bégonia,3.9,Rose,Fleur en pot ou en massif
Capucine,1.9,Orange,Comestible et décorative
Pavot,2.8,Rouge,Délicate et éphémère
Hibiscus,3.5,Rouge,Tropicale et décorative
